Movie Name,Release Year,Director,Age Difference,Actor 1 Name,Actor 1 Gender,Actor 1 Birthdate,Actor 1 Age,Actor 2 Name,Actor 2 Gender,Actor 2 Birthdate,Actor 2 Age
Elegy,2008,Isabel Coixet,31,Ben Kingsley,man,12/31/1943,65,Penelope Cruz,woman,4/28/1974,34
Mighty Aphrodite,1995,Woody Allen,31,Woody Allen,man,12/1/1935,60,Helena Bonham Carter,woman,5/26/1966,29
A View to a Kill,1985,John Glen,30,Roger Moore,man,10/14/1927,58,Mary Stavin,woman,8/20/1957,28
Enemy of the State,1998,Tony Scott,30,Jon Voight,man,12/29/1938,60,Anna Gunn,woman,8/11/1968,30
For Your Eyes Only,1981,John Glen,30,Roger Moore,man,10/14/1927,54,Carole Bouquet,woman,8/18/1957,24
Funny Face,1957,Stanley Donen,30,Fred Astaire,man,1899-05-10,58,Audrey Hepburn,woman,5/4/1929,28
Houseboat,1958,Melville Shavelson,30,Cary Grant,man,1/18/1904,54,Sophia Loren,woman,9/20/1934,24
Kindergarten Cop 2,2016,Don Michael Paul,30,Dolph Lundgren,man,11/3/1957,59,Darla Taylor,woman,1/31/1987,29
Sabrina,1954,Billy Wilder,30,Humphrey Bogart,man,1899-12-25,55,Audrey Hepburn,woman,5/4/1929,25
The Quiet American,1958,Joseph L. Mankiewicz,30,Michael Redgrave,man,3/20/1908,50,Giorgia Moll,woman,1/14/1938,20
A Single Man,2009,Tom Ford,29,Colin Firth,man,9/10/1960,49,Nicholas Hoult,man,12/7/1989,20
A View to a Kill,1985,John Glen,29,Roger Moore,man,10/14/1927,58,Fiona Fullerton,woman,10/10/1956,29
Arbitrage,2012,Nicholas Jarecki,29,Richard Gere,man,8/31/1949,63,Laetitia Casta,woman,5/11/1978,34
Bulworth,1998,Warren Beatty,29,Warren Beatty,man,3/30/1937,61,Halle Berry,woman,8/14/1966,32
Mank,2020,David Fincher,29,Gary Oldman,man,3/21/1958,62,Tuppence Middleton,woman,2/21/1987,33
Sense and Sensibility,1995,Ang Lee,29,Alan Rickman,man,2/21/1946,49,Kate Winslet,woman,10/5/1975,20
The Departed,2006,Martin Scorsese,29,Jack Nicholson,man,4/22/1937,69,Kristen Dalton,woman,2/14/1966,40
The Man Who Wasn't There,2001,Joel Coen,29,Billy Bob Thornton,man,8/4/1955,46,Scarlett Johansson,woman,11/22/1984,17
A Perfect Murder,1998,Andrew Davis,28,Michael Douglas,man,9/25/1944,54,Gwyneth Paltrow,woman,9/27/1972,26
A View to a Kill,1985,John Glen,28,Roger Moore,man,10/14/1927,58,Tanya Roberts,woman,10/15/1955,30
Beat the Devil,1953,John Huston,28,Humphrey Bogart,man,1899-12-25,54,Gina Lollobrigida,woman,7/4/1927,26
Café Society,2016,Woody Allen,28,Steve Carell,man,8/16/1962,54,Kristen Stewart,woman,4/9/1990,26
Crazy Heart,2009,Scott Cooper,28,Jeff Bridges,man,12/4/1949,60,Maggie Gyllenhaal,woman,11/16/1977,32
Gangster Squad,2013,Ruben Fleischer,28,Sean Penn,man,8/17/1960,53,Emma Stone,woman,11/6/1988,25
High Noon,1952,Fred Zinnemann,28,Gary Cooper,man,5/7/1901,51,Grace Kelly,woman,11/12/1929,23
Last Tango in Paris,1972,Bernardo Bertolucci,28,Marlon Brando,man,4/3/1924,48,Maria Schneider,woman,3/27/1952,20
Love in the Afternoon,1957,undefined,28,Gary Cooper,man,5/7/1901,56,Audrey Hepburn,woman,5/4/1929,28
Magic in the Moonlight,2014,Woody Allen,28,Colin Firth,man,9/10/1960,54,Emma Stone,woman,11/6/1988,26
Freeheld,2015,Peter Sollett,27,Julianne Moore,woman,12/3/1960,55,Ellen Page,woman,2/21/1987,28
"Six Days, Seven Nights",1998,Ivan Reitman,27,Harrison Ford,man,7/13/1942,56,Anne Heche,woman,5/25/1969,29
Tadpole,2002,Gary Winick,27,Aaron Stanford,man,12/27/1976,26,Sigourney Weaver,woman,10/8/1949,53
The Oranges,2012,Julian Farino,27,Hugh Laurie,man,6/11/1959,53,Leighton Meester,woman,4/9/1986,26
The Squid and the Whale,2005,Noah Baumbach,27,Jeff Daniels,man,1/19/1955,50,Anna Paquin,woman,7/24/1982,23
You Should Have Left,2020,David Koepp,27,Kevin Bacon,man,7/8/1958,62,Amanda Seyfried,woman,12/3/1985,35
As Good as It Gets,1997,James L. Brooks,26,Jack Nicholson,man,4/22/1937,60,Helen Hunt,woman,6/15/1963,34
Behind the Candelabra,2013,Steven Soderbergh,26,Michael Douglas,man,9/25/1944,69,Matt Damon,man,10/8/1970,43
Black Mass,2015,Scott Cooper,26,Johnny Depp,man,6/9/1963,52,Dakota Johnson,woman,10/4/1989,26
Die Another Day,2002,Lee Tamahori,26,Pierce Brosnan,man,5/16/1953,49,Rosamund Pike,woman,1/27/1979,23
High Society,1956,Charles Walters,26,Bing Crosby,man,5/3/1903,53,Grace Kelly,woman,11/12/1929,27
I Love Trouble,1994,Charles Shyer,26,Nick Nolte,man,2/8/1941,53,Julia Roberts,woman,10/28/1967,27
Indecent Proposal,1993,Adrian Lyne,26,Robert Redford,man,8/18/1936,57,Demi Moore,woman,11/11/1962,31
Manhattan,1979,Woody Allen,26,Woody Allen,man,12/1/1935,44,Mariel Hemingway,woman,11/22/1961,18
Phantom Thread,2017,Paul Thomas Anderson,26,Daniel Day-Lewis,man,4/29/1957,60,Vicky Krieps,woman,10/4/1983,34
The Color of Money,1986,Martin Scorsese,26,Paul Newman,man,1/26/1925,61,Helen Shaver,woman,2/24/1951,35
Amelia,2009,Mira Nair,25,Richard Gere,man,8/31/1949,60,Hilary Swank,woman,7/30/1974,35
Charade,1963,Stanley Donen,25,Cary Grant,man,1/18/1904,59,Audrey Hepburn,woman,5/4/1929,34
Chloe,2009,Atom Egoyan,25,Julianne Moore,woman,12/3/1960,49,Amanda Seyfried,woman,12/3/1985,24
Dark Passage,1947,Delmer Daves,25,Humphrey Bogart,man,1899-12-25,48,Lauren Bacall,woman,9/16/1924,23
I Married a Witch,1942,René Clair,25,Fredric March,man,1897-08-31,45,Veronica Lake,woman,11/14/1922,20
Key Largo,1948,John Huston,25,Humphrey Bogart,man,1899-12-25,49,Lauren Bacall,woman,9/16/1924,24
Knock Knock,2015,Eli Roth,25,Keanu Reeves,man,9/2/1964,51,Lorenza Izzo,woman,9/19/1989,26
Love Actually,2003,Richard Curtis,25,Alan Rickman,man,2/21/1946,57,Heike Makatsch,woman,8/13/1971,32
Rumor Has It...,2005,Rob Reiner,25,Richard Jenkins,man,5/3/1947,58,Jennifer Taylor,woman,4/19/1972,33
Seabiscuit,2003,Gary Ross,25,Jeff Bridges,man,12/4/1949,54,Elizabeth Banks,woman,2/10/1974,29
Spun,2002,Jonas Åkerlund,25,Mickey Rourke,man,9/16/1952,50,Brittany Murphy,woman,11/10/1977,25
State of the Union,1948,Frank Capra,25,Spencer Tracy,man,4/5/1900,48,Angela Lansbury,woman,10/16/1925,23
The Big Sleep,1946,Howard Hawks,25,Humphrey Bogart,man,1899-12-25,47,Lauren Bacall,woman,9/16/1924,22
The Misfits,1961,John Huston,25,Clark Gable,man,2/1/1901,60,Marilyn Monroe,woman,6/1/1926,35
To Catch a Thief,1955,Alfred Hitchcock,25,Cary Grant,man,1/18/1904,51,Grace Kelly,woman,11/12/1929,26
To Have and Have Not,1944,Howard Hawks,25,Humphrey Bogart,man,1899-12-25,45,Lauren Bacall,woman,9/16/1924,20
Vertigo,1958,Alfred Hitchcock,25,James Stewart,man,5/20/1908,50,Kim Novak,woman,2/13/1933,25
World's Greatest Dad,2009,Bobcat Goldthwait,25,Robin Williams,man,7/21/1951,58,Alexie Gilmore,woman,1/1/1976,33
15 Minutes,2001,John Herzfeld,24,Robert De Niro,man,8/18/1943,58,Melina Kanakaredes,woman,4/23/1967,34
American Gangster,2007,Ridley Scott,24,Denzel Washington,man,12/28/1954,53,Lymari Nadal,woman,2/11/1978,29
Beyond the Sea,2004,Kevin Spacey,24,Kevin Spacey,man,7/26/1959,45,Kate Bosworth,woman,1/2/1983,21
Cleaner,2007,Renny Harlin,24,Ed Harris,man,11/28/1950,57,Eva Mendes,woman,3/5/1974,33
Dark Shadows,2012,Tim Burton,24,Johnny Depp,man,6/9/1963,49,Bella Heathcote,woman,5/27/1987,25
Halloween III: Season of the Witch,1982,Tommy Lee Wallace,24,Tom Atkins,man,11/13/1935,47,Stacey Nelkin,woman,9/10/1959,23
In a Lonely Place,1950,Nicholas Ray,24,Humphrey Bogart,man,1899-12-25,51,Gloria Grahame,woman,11/28/1923,27
Indiana Jones and the Last Crusade,1989,Steven Spielberg,24,Harrison Ford,man,7/13/1942,47,Alison Doody,woman,3/9/1966,23
Knock Knock,2015,Eli Roth,24,Keanu Reeves,man,9/2/1964,51,Ana de Armas,woman,4/30/1988,27
Live and Let Die,1973,Guy Hamilton,24,Roger Moore,man,10/14/1927,46,Jane Seymour,woman,2/15/1951,22
Moonraker,1979,Lewis Gilbert,24,Roger Moore,man,10/14/1927,52,Emily Bolton,woman,6/15/1951,28
Rio Bravo,1959,Howard Hawks,24,John Wayne,man,5/26/1907,52,Angie Dickinson,woman,9/30/1931,28
Surrogates,2009,Jonathan Mostow,24,Bruce Willis,man,3/19/1955,54,Rosamund Pike,woman,1/27/1979,30
The Horse Whisperer,1998,Robert Redford,24,Robert Redford,man,8/18/1936,62,Kristin Scott Thomas,woman,5/24/1960,38
The Wrong Man,1956,Alfred Hitchcock,24,Henry Fonda,man,5/16/1905,51,Vera Miles,woman,8/23/1929,27
A Walk in the Woods,2015,Ken Kwapis,23,Robert Redford,man,8/18/1936,79,Emma Thompson,woman,4/15/1959,56
En kongelig affaere,2012,Nikolaj Arcel,23,Mads Mikkelsen,man,11/22/1965,47,Alicia Vikander,woman,10/3/1988,24
Flight,2012,Robert Zemeckis,23,Denzel Washington,man,12/28/1954,58,Kelly Reilly,woman,7/18/1977,35
Hobbs & Shaw,2019,David Leitch,23,Jason Statham,man,7/26/1967,52,Eiza Gonzalez,woman,1/30/1990,29
Moonraker,1979,Lewis Gilbert,23,Roger Moore,man,10/14/1927,52,Corinne Clery,woman,3/23/1950,29
Octopussy,1983,John Glen,23,Roger Moore,man,10/14/1927,56,Kristina Wayborn,woman,9/24/1950,33
Sabrina,1995,Sydney Pollack,23,Harrison Ford,man,7/13/1942,53,Julia Ormond,woman,1/4/1965,30
Seeking a Friend for the End of the World,2012,Lorene Scafaria,23,Steve Carell,man,8/16/1962,50,Keira Knightley,woman,3/26/1985,27
The Details,2011,Jacob Aaron Estes,23,Ray Liotta,man,12/18/1954,57,Kerry Washington,woman,1/31/1977,34
The Duchess,2008,Saul Dibb,23,Ralph Fiennes,man,12/22/1962,46,Keira Knightley,woman,3/26/1985,23
The First Wives Club,1996,Hugh Wilson,23,Victor Garber,man,3/16/1949,47,Elizabeth Berkley,woman,7/28/1972,24
The Man with the Golden Gun,1974,Guy Hamilton,23,Christopher Lee,man,6/27/1922,52,Maud Adams,woman,2/12/1945,29
The Rum Diary,2011,Bruce Robinson,23,Johnny Depp,man,6/9/1963,48,Amber Heard,woman,4/22/1986,25
Autumn in New York,2000,Joan Chen,22,Richard Gere,man,8/31/1949,51,Winona Ryder,woman,10/29/1971,29
Dial M for Murder,1954,Alfred Hitchcock,22,Ray Milland,man,3/1/1907,47,Grace Kelly,woman,11/12/1929,25
Focus,2015,"Glenn Ficarra, John Requa",22,Will Smith,man,9/25/1968,47,Margot Robbie,woman,7/2/1990,25
Live and Let Die,1973,Guy Hamilton,22,Roger Moore,man,10/14/1927,46,Gloria Hendry,woman,3/3/1949,24
Live and Let Die,1973,Guy Hamilton,22,Roger Moore,man,10/14/1927,46,Madeline Smith,woman,8/2/1949,24
Luci del varietà,1951,Federico Fellini,22,Peppino De Filippo,man,8/24/1903,48,Carla Del Poggio,woman,12/2/1925,26
The Mummy,2017,Alex Kurtzman,22,Tom Cruise,man,7/3/1962,55,Annabelle Wallis,woman,9/25/1984,33
The Other Woman,2014,Nick Cassavetes,22,Nikolaj Coster-Waldau,man,7/27/1970,44,Kate Upton,woman,6/10/1992,22
The Prom,2020,Ryan Murphy,22,Keegan-Michael Key,man,3/22/1971,49,Meryl Streep,woman,6/22/1949,71
The Royal Tenenbaums,2001,Wes Anderson,22,Bill Murray,man,9/21/1950,51,Gwyneth Paltrow,woman,9/27/1972,29
Up Close & Personal,1996,Jon Avnet,22,Robert Redford,man,8/18/1936,60,Michelle Pfeiffer,woman,4/29/1958,38
A View to a Kill,1985,John Glen,21,Roger Moore,man,10/14/1927,58,Grace Jones,woman,5/19/1948,37
Blame,2017,Quinn Shephard,21,Chris Messina,man,8/11/1974,43,Quinn Shephard,woman,2/28/1995,22
Bugsy,1991,Barry Levinson,21,Warren Beatty,man,3/30/1937,54,Annette Bening,woman,5/29/1958,33
Deja Vu,2006,Tony Scott,21,Denzel Washington,man,12/28/1954,52,Paula Patton,woman,12/5/1975,31
Don Jon,2013,Joseph Gordon-Levitt,21,Joseph Gordon-Levitt,man,2/17/1981,32,Julianne Moore,woman,12/3/1960,53
Edge of Tomorrow,2014,Doug Liman,21,Tom Cruise,man,7/3/1962,52,Emily Blunt,woman,2/23/1983,31
For Your Eyes Only,1981,John Glen,21,Roger Moore,man,10/14/1927,54,Cassandra Harris,woman,12/15/1948,33
Heat,1995,Michael Mann,21,Robert De Niro,man,8/18/1943,52,Amy Brenneman,woman,6/22/1964,31
Husbands and Wives,1992,Woody Allen,21,Sydney Pollack,man,7/1/1934,58,Judy Davis,woman,4/23/1955,37
It's Complicated,2009,Nancy Meyers,21,Alec Baldwin,man,4/3/1958,51,Lake Bell,woman,3/24/1979,30
Just Go with It,2011,Dennis Dugan,21,Adam Sandler,man,9/9/1966,45,Brooklyn Decker,woman,4/12/1987,24
King Arthur,2004,Antoine Fuqua,21,Clive Owen,man,10/3/1964,40,Keira Knightley,woman,3/26/1985,19
Licence to Kill,1989,John Glen,21,Timothy Dalton,man,3/21/1946,43,Talisa Soto,woman,3/27/1967,22
Modern Times,1936,Charlie Chaplin,21,Charlie Chaplin,man,1889-04-16,47,Paulette Goddard,woman,6/3/1910,26
My Cousin Vinny,1992,Jonathan Lynn,21,Joe Pesci,man,2/9/1943,49,Marisa Tomei,woman,12/4/1964,28
My Fair Lady,1964,George Cukor,21,Rex Harrison,man,3/5/1908,56,Audrey Hepburn,woman,5/4/1929,35
Rear Window,1954,Alfred Hitchcock,21,James Stewart,man,5/20/1908,46,Grace Kelly,woman,11/12/1929,25
Richard III,1995,Richard Loncraine,21,Ian McKellen,man,5/25/1939,56,Kristin Scott Thomas,woman,5/24/1960,35
Teacher's Pet,1958,George Seaton,21,Clark Gable,man,2/1/1901,57,Doris Day,woman,4/3/1922,36
The Bubble,2022,Judd Apatow,21,Pedro Pascal,man,4/2/1975,47,Maria Bakalova,woman,6/4/1996,26
The Great Dictator,1940,Charlie Chaplin,21,Charlie Chaplin,man,1889-04-16,51,Paulette Goddard,woman,6/3/1910,30
The Royal Tenenbaums,2001,Wes Anderson,21,Gene Hackman,man,1/30/1930,71,Anjelica Huston,woman,7/8/1951,50
The Verdict,1982,Sidney Lumet,21,Paul Newman,man,1/26/1925,57,Charlotte Rampling,woman,2/5/1946,36
Tomorrow Never Dies,1997,Roger Spottiswoode,21,Pierce Brosnan,man,5/16/1953,44,Cecilie Thomsen,woman,10/29/1974,23
V for Vendetta,2005,James McTeigue,21,Hugo Weaving,man,4/4/1960,45,Natalie Portman,woman,6/9/1981,24
American Beauty,1999,Sam Mendes,20,Kevin Spacey,man,7/26/1959,40,Mena Suvari,woman,2/13/1979,20
Get Smart,2008,Peter Segal,20,Steve Carell,man,8/16/1962,46,Anne Hathaway,woman,11/12/1982,26
Jurassic Park,1993,Steven Spielberg,20,Sam Neill,man,9/14/1947,46,Laura Dern,woman,2/10/1967,26
Killer Joe,2011,William Friedkin,20,Matthew McConaughey,man,11/4/1969,42,Juno Temple,woman,7/20/1989,22
L.A. Story,1991,Mick Jackson,20,Steve Martin,man,8/14/1945,46,Sarah Jessica Parker,woman,3/25/1965,26
Moonraker,1979,Lewis Gilbert,20,Roger Moore,man,10/14/1927,52,Lois Chiles,woman,4/15/1947,32
North by Northwest,1959,Alfred Hitchcock,20,Cary Grant,man,1/18/1904,55,Eva Marie Saint,woman,7/4/1924,35
Notes on a Scandal,2006,Richard Eyre,20,Andrew Simpson,man,1/1/1989,17,Cate Blanchett,woman,5/14/1969,37
Patch Adams,1998,Tom Shadyac,20,Robin Williams,man,7/21/1951,47,Monica Potter,woman,6/30/1971,27
Pushing Tin,1999,Mike Newell,20,Billy Bob Thornton,man,8/4/1955,44,Angelina Jolie,woman,6/4/1975,24
Regarding Henry,1991,Mike Nichols,20,Harrison Ford,man,7/13/1942,49,Rebecca Miller,woman,9/15/1962,29
Singin' in the Rain,1952,"Stanley Donen, Gene Kelly",20,Gene Kelly,man,8/23/1912,40,Debbie Reynolds,woman,4/1/1932,20
The Duchess,2008,Saul Dibb,20,Ralph Fiennes,man,12/22/1962,46,Hayley Atwell,woman,4/5/1982,26
The Fifth Element,1997,Luc Besson,20,Bruce Willis,man,3/19/1955,42,Milla Jovovich,woman,12/17/1975,22
The Northman,2022,Robert Eggers,20,Alexander Skarsgard,man,8/25/1976,46,Anya Taylor-Joy,woman,4/16/1996,26
The Only Living Boy in New York,2017,Marc Webb,20,Pierce Brosnan,man,5/16/1953,64,Kate Beckinsale,woman,7/26/1973,44
The Spy Who Loved Me,1977,Lewis Gilbert,20,Roger Moore,man,10/14/1927,50,Barbara Bach,woman,8/27/1947,30
Training Day,2001,Antoine Fuqua,20,Denzel Washington,man,12/28/1954,47,Eva Mendes,woman,3/5/1974,27
Virginia,2010,Dustin Lance Black,20,Ed Harris,man,11/28/1950,60,Jennifer Connelly,woman,12/12/1970,40
Water for Elephants,2011,Francis Lawrence,20,Christoph Waltz,man,10/4/1956,55,Reese Witherspoon,woman,3/21/1976,35
American Pie,1999,"Paul Weitz, Chris Weitz",19,Eddie Kay Thomas,man,10/31/1980,19,Jennifer Coolidge,woman,8/28/1961,38
An American in Paris,1951,Vincente Minnelli,19,Gene Kelly,man,8/23/1912,39,Leslie Caron,woman,7/1/1931,20
Baby Driver,2017,Edgar Wright,19,Jon Hamm,man,3/10/1971,46,Eiza Gonzalez,woman,1/30/1990,27
Birdman,2014,Alejandro González Iñárritu,19,Edward Norton,man,8/18/1969,45,Emma Stone,woman,11/6/1988,26
Buffalo '66,1998,Vincent Gallo,19,Vincent Gallo,man,4/11/1961,37,Christina Ricci,woman,2/12/1980,18
Firewall,2006,Richard Loncraine,19,Harrison Ford,man,7/13/1942,64,Virginia Madsen,woman,9/11/1961,45
Gone Girl,2014,David Fincher,19,Ben Affleck,man,8/15/1972,42,Emily Ratajkowski,woman,6/7/1991,23
Mighty Aphrodite,1995,Woody Allen,19,Peter Weller,man,6/24/1947,48,Helena Bonham Carter,woman,5/26/1966,29
Mother's Day,2016,Garry Marshall,19,Timothy Olyphant,man,5/20/1968,48,Shay Mitchell,woman,4/10/1987,29
Män som hatar kvinnor,2009,Niels Arden Oplev,19,Michael Nyqvist,man,11/8/1960,49,Noomi Rapace,woman,12/28/1979,30
Skyfall,2012,Sam Mendes,19,Daniel Craig,man,3/2/1968,44,Tonia Sotiropoulou,woman,4/28/1987,25
Star of Midnight,1935,Stephen Roberts,19,William Powell,man,1892-06-29,43,Ginger Rogers,woman,7/16/1911,24
Street Kings,2008,David Ayer,19,Keanu Reeves,man,9/2/1964,44,Martha Higareda,woman,8/24/1983,25
Suburban Girl,2007,Marc Klein,19,Alec Baldwin,man,4/3/1958,49,Sarah Michelle Gellar,woman,4/14/1977,30
Suicide Squad,2016,David Ayer,19,Jared Leto,man,12/26/1971,45,Margot Robbie,woman,7/2/1990,26
The Bridges of Madison County,1995,Clint Eastwood,19,Clint Eastwood,man,5/31/1930,65,Meryl Streep,woman,6/22/1949,46
The Lord of the Rings,2001,Peter Jackson,19,Viggo Mortensen,man,10/20/1958,43,Liv Tyler,woman,7/1/1977,24
The Mothman Prophecies,2002,Mark Pellington,19,Richard Gere,man,8/31/1949,53,Debra Messing,woman,8/15/1968,34
The Naked Gun,1988,David Zucker,19,Leslie Nielsen,man,2/11/1926,62,Priscilla Presley,woman,4/24/1945,43
Thunderball,1965,Terence Young,19,Adolfo Celi,man,7/27/1922,43,Claudine Auger,woman,4/26/1941,24
Transcendence,2014,Wally Pfister,19,Johnny Depp,man,6/9/1963,51,Rebecca Hall,woman,5/3/1982,32
A Single Man,2009,Tom Ford,18,Colin Firth,man,9/10/1960,49,Matthew Goode,man,4/3/1978,31
All I See Is You,2017,Marc Forster,18,Jason Clarke,man,7/17/1969,48,Blake Lively,woman,8/25/1987,30
Always Be My Maybe,2019,Nahnatchka Khan,18,Keanu Reeves,man,9/2/1964,55,Ali Wong,woman,4/19/1982,37
Austin Powers in Goldmember,2002,Jay Roach,18,Mike Myers,man,4/25/1963,39,Beyonce Knowles,woman,9/4/1981,21
Avengers: Infinity War,2018,Joe & Anthony Russo,18,Paul Bettany,man,5/27/1971,47,Elizabeth Olsen,woman,2/16/1989,29
Big Eyes,2014,Tim Burton,18,Christoph Waltz,man,10/4/1956,58,Amy Adams,woman,8/20/1974,40
Color of Night,1994,Richard Rush,18,Bruce Willis,man,3/19/1955,39,Jane March,woman,3/20/1973,21
Guess Who's Coming to Dinner,1967,John Huston,18,Sidney Poitier,man,2/20/1927,40,Katharine Houghton,woman,3/10/1945,22
Milk,2008,Gus Van Sant,18,Sean Penn,man,8/17/1960,48,James Franco,man,4/19/1978,30
Octopussy,1983,John Glen,18,Roger Moore,man,10/14/1927,56,Maud Adams,woman,2/12/1945,38
Once,2007,John Carney,18,Glen Hansard,man,4/21/1970,37,Marketa Irglova,woman,2/28/1988,19
Pretty Woman,1990,Garry Marshall,18,Richard Gere,man,8/31/1949,41,Julia Roberts,woman,10/28/1967,23
Quantum of Solace,2008,Marc Forster,18,Daniel Craig,man,3/2/1968,40,Gemma Arterton,woman,2/2/1986,22
Raising Helen,2004,Garry Marshall,18,John Corbett,man,5/9/1961,43,Kate Hudson,woman,4/19/1979,25
Random Hearts,1999,Sydney Pollack,18,Harrison Ford,man,7/13/1942,57,Kristin Scott Thomas,woman,5/24/1960,39
Replicas,2018,Jeffrey Nachmanoff,18,Keanu Reeves,man,9/2/1964,54,Alice Eve,woman,2/6/1982,36
Runaway Bride,1999,Garry Marshall,18,Richard Gere,man,8/31/1949,50,Julia Roberts,woman,10/28/1967,32
Rushmore,1998,Wes Anderson,18,Bill Murray,man,9/21/1950,48,Olivia Williams,woman,7/26/1968,30
Scarface,1983,Brian De Palma,18,Al Pacino,man,4/25/1940,43,Michelle Pfeiffer,woman,4/29/1958,25
Something's Gotta Give,2003,Nancy Meyers,18,Keanu Reeves,man,9/2/1964,39,Diane Keaton,woman,1/5/1946,57
St. Vincent,2014,Theodore Melfi,18,Bill Murray,man,9/21/1950,64,Naomi Watts,woman,9/28/1968,46
Tadpole,2002,Gary Winick,18,Aaron Stanford,man,12/27/1976,26,Bebe Neuwirth,woman,12/31/1958,44
The Killing of a Chinese Bookie,1976,John Cassavetes,18,Ben Gazzara,man,8/28/1930,46,Azizi Johari,woman,8/24/1948,28
The Man with the Golden Gun,1974,Guy Hamilton,18,Roger Moore,man,10/14/1927,47,Maud Adams,woman,2/12/1945,29
The Rum Diary,2011,Bruce Robinson,18,Aaron Eckhart,man,3/12/1968,43,Amber Heard,woman,4/22/1986,25
The World Is Not Enough,1999,Michael Apted,18,Pierce Brosnan,man,5/16/1953,46,Denise Richards,woman,2/17/1971,28
Tommy Boy,1995,Peter Segal,18,Brian Dennehy,man,7/9/1938,57,Bo Derek,woman,11/20/1956,39
Whatever Works,2009,Woody Allen,18,Larry David,man,7/2/1947,62,Jessica Hecht,woman,6/28/1965,44
Yes Man,2008,Peyton Reed,18,Jim Carrey,man,1/17/1962,46,Zooey Deschanel,woman,1/17/1980,28
Zombieland: Double Tap,2019,Ruben Fleischer,18,Woody Harrelson,man,7/23/1961,58,Rosario Dawson,woman,5/9/1979,40
47 Ronin,2013,Carl Rinsch,17,Keanu Reeves,man,9/2/1964,49,Ko Shibasaki,woman,8/5/1981,32
